path	artist_name	artist_location
F/H/Z/TRFHZJF128F146F00F	Def Con Dos	
C/B/R/TRCBRBI128F423A0A7	Bono / Secret Machines	
P/H/G/TRPHGWG128F4235CB1	Orquesta De Edmundo Arias	
Y/C/H/TRYCHGX128F93434F7	Paola Turci	Roma
J/N/Z/TRJNZAR128F429B0E2	Plain White T's	Chicago, IL
S/O/V/TRSOVAM128E07859C8	Guster	West Somerville, Massachusetts
D/B/Q/TRDBQIA128F9303E32	Bruce Mitchell	CANADA - Ontario
Q/F/D/TRQFDNU128F92CB65D	Panpipes	
B/L/W/TRBLWHS128F93272C8	Roger Williams	Omaha, NE
U/E/N/TRUENMN128F1478668	Jack Johnson	Galveston, TX
V/F/P/TRVFPXT128F92E89B6	Bill Wyman's Rhythm Kings	
H/W/W/TRHWWEX128F9341A78	Shake Da Mayor	
J/C/Z/TRJCZQN128EF34C0AD	Juha Tapio	
G/V/J/TRGVJSH128F92EF96C	Cosmic Gate	
Q/I/F/TRQIFUZ12903CAF5B7	Ballboy	Edinburgh, Scotland
J/C/Y/TRJCYRF128F4268CF9	Daniel Kobialka	United States
O/Z/M/TROZMOU128F4290DB5	89ers	
W/J/K/TRWJKXI128F14A11CD	Jendrik De Ruvo	
K/R/Z/TRKRZLR128F427255A	Audioslave	Los Angeles, CA
A/Y/J/TRAYJFH128F1480978	Paris Hilton	27
M/F/A/TRMFAAX128E0787836	Nomadi	
D/G/B/TRDGBXB128F14951A6	Nichole Nordeman	
E/V/V/TREVVUJ128E07920B8	S Club 7	
C/Q/B/TRCQBKU128F932C575	Gil Ventura	
V/E/U/TRVEUWZ128F42684C5	Kelpe	
J/W/Z/TRJWZMY128F932310B	Joy Electric	Orange County, California
X/G/G/TRXGGAE128F426484D	Liona Boyd	California
H/M/M/TRHMMZD128F9364C73	Simple Minds	Glasgow, Scotland
Y/O/K/TRYOKAV128F9311BDD	Kate Ryan	
Q/F/F/TRQFFIG128F146EC33	Creedence Clearwater Revival	El Cerrito, CA
X/X/H/TRXXHWS128F4297CD3	Café Quijano	
Y/H/T/TRYHTBJ128F9311F02	Airwave	
G/W/I/TRGWIMO128F9307E1A	Eisley	Tyler TX
C/B/T/TRCBTOD128F93247CA	Earl Van Dyke & The Soul Brothers	
R/I/O/TRRIOEE128F425F80D	Yana Kay	
H/Q/Q/TRHQQAS128F429701E	Alcazar	Svezia
W/T/F/TRWTFEA128F426E1DC	Bangles	Los Angeles, CA
R/K/D/TRRKDBE128F427F3EF	Slavic Soul Party!	
P/Z/G/TRPZGNA128F92C9E9D	DJ Generic	
V/P/W/TRVPWTG128F42B7B76	Jackopierce	Dallas, TX
G/N/F/TRGNFQX128F4233A51	Floyd Cramer	Samti, LA
K/P/A/TRKPAMR128F428B8E5	Crazy Frog	
K/M/M/TRKMMXO128F14791E9	Chloe Agnew	
D/F/J/TRDFJZE12903CCCD85	El cuero	
I/Z/N/TRIZNIK128F424C811	Bjoern Stolpmann	
G/Q/Q/TRGQQSQ128F934EB77	Tape Deck Mountain	San Diego
C/Z/A/TRCZAYK128F4279A4E	Michele Zarrillo	Rome, Italy
O/U/F/TROUFIK128F423A7CE	Rachel Rachel	
V/W/G/TRVWGZP128F92E6772	Dave Joy	
M/S/X/TRMSXAM128F147D82E	King Britt & Tim Motzer	
A/S/H/TRASHIF128F92E54EA	The Stiletto Formal	
R/U/X/TRRUXNM128EF34C551	John Waite	Lancaster, Lancashire, England
L/S/R/TRLSRHC128F931A423	Sieg Über Die Sonne	
B/W/C/TRBWCBF128F42ADC7F	Phantom Planet	
K/Y/A/TRKYAQK128F92EA0C0	Hildegard Knef	Ulm, Germany
V/M/J/TRVMJUN128F4260BD3	Ráfaga	
L/R/E/TRLRECA128F93069F2	Katie Melua	Georgia
A/B/M/TRABMIC128F9314139	Plastic Bertrand	BELGIUM
B/W/C/TRBWCBF128F42ADC7F	Phantom Planet	
S/R/R/TRSRRID128F92EF86C	Everything But The Girl	Hull, England
K/N/P/TRKNPUW128E078ACE7	Nena	Hagen, W. Germany
E/U/A/TREUASA128F92EB21E	G4	Louisiana
C/Y/B/TRCYBKC12903CBC869	Gui Boratto	S�Paulo, Brazil
D/Y/S/TRDYSYQ128F42934BA	Carly Simon	New York, NY
X/C/H/TRXCHEC128F42958D4	Amici Forever	
X/O/F/TRXOFFX128F42962D7	Say Hi To Your Mom	New York NY
K/T/D/TRKTDKY128F42845DB	Marc Romboy vs. Gui Boratto	
D/O/A/TRDOAWK128F92ED15C	Frans Bauer	
C/Y/J/TRCYJXE12903CD4951	PPK	Russian Federation
Y/Y/H/TRYYHPL128F1464394	Semprini	
D/D/R/TRDDRFL128F92F45A5	Oneida	Brooklyn, NY
L/T/L/TRLTLJC128F9345529	Hay / Strykert	Scotland
H/W/U/TRHWUBN12903CEF514	Toby Keith	Clinton, OK
P/B/J/TRPBJJQ128F14698A7	Dreadzone	London, England
A/C/J/TRACJWL128F92FB60E	La Ley	Chile
I/M/J/TRIMJUL128F92F5076	DJ Yoda	London
G/R/V/TRGRVJW128F4253751	Bobby	Mass. - Boston
R/J/W/TRRJWFZ128F931A0D4	Bo Kaspers Orkester	
T/M/N/TRTMNSZ128F4286067	James Galway	Belfast, Northern Ireland
H/Z/G/TRHZGOM128F931CE5A	Mischa Daniels feat. Crown	Los Angeles CA
S/P/Y/TRSPYUI128F4285A7A	Kenny G featuring LeAnn Rimes	Seattle, Washington USA
G/O/H/TRGOHJU128F1453D50	Blink-182	Poway, CA
A/V/Q/TRAVQKQ128F425A98E	Westlife	Dublin, Ireland
S/B/A/TRSBAXT12903CC45CF	Plus One	
U/T/D/TRUTDTR128F422B7CC	Bob Sinclar	
W/T/B/TRWTBMC128F425828B	Joe Dolan	
L/A/S/TRLASXW128F422B862	2-4 Grooves	
B/N/I/TRBNINF128F149B640	AG feat. Kathie Kleff	
R/I/R/TRRIRMX128F92E6272	Akon	St. Louis, MO
M/L/A/TRMLAON128F4266E6B	Béla Fleck	
Z/G/N/TRZGNCM128F14A2951	Ville Valo & Natalia Avelon	
Y/E/F/TRYEFFX128F146D78D	My Chemical Romance	New Jersey
N/X/F/TRNXFJU128EF365E9E	The Jack Stafford Foundation	
E/I/N/TREINJX12903CACAE8	Acker Bilk	Pensford, Somerset, England
V/I/A/TRVIATW128F92CFD1C	Muscles	Melbourne, Australia
D/X/R/TRDXRMU12903CD0C22	Separate	Dunn, NC
L/B/S/TRLBSPA12903CC52B3	Carlene Carter	Nashville, TN
J/W/Y/TRJWYJG128F14555D1	Sister Hazel	Gainesville, FL
Q/N/O/TRQNOVN128F933258C	Alain Turban	
D/O/A/TRDOAWK128F92ED15C	Frans Bauer	
A/N/Q/TRANQNS128F42739D1	JK	Texas
L/X/J/TRLXJGO128F9320354	Millie Jackson	Thomson, GA
H/N/U/TRHNUOW128E0786676	Alanis Morissette	Ottawa, Ontario, Canada
R/C/W/TRRCWYA12903CC276E	Tracy Lawrence	Atlanta, TX
G/W/B/TRGWBEM128F92C2E2D	Destiny's Child	Houston, TX
L/D/H/TRLDHKB128F4268EFC	Silence	Colorado
X/A/Y/TRXAYFC128F427D322	The Courteeners	
J/U/V/TRJUVYX128F4213D3B	Utah Saints	Leeds, England
J/M/J/TRJMJDJ128EF36037A	Quim Barreiros	
C/Q/N/TRCQNTC128F422B483	Casiotone For The Painfully Alone	
Y/F/L/TRYFLID128F14AC1A1	Donnie Munro	
L/X/K/TRLXKVE128F429B7AF	Garbage	Madison, WI
A/G/L/TRAGLAV128F9345BCB	Marco Carta	
P/M/F/TRPMFHX12903CFEDED	La tulipe noire	
Y/V/J/TRYVJUR128F42328AE	Olga Tañon	
K/W/A/TRKWAOQ128F423CCF6	Stanley Clarke	Philadelphia, PA
I/T/G/TRITGQW128F4238094	Player & Remady	
J/X/J/TRJXJQQ12903CEF331	Tiamat	Sweden
A/R/A/TRARALP128F4288E58	Alejandro Sanz	Madrid, Spain
Z/Y/F/TRZYFZF12903D063D1	Moguai	Recklinghausen, Germany
X/C/T/TRXCTZV128F92F51A8	Lee Ritenour / Dave Grusin	
I/H/R/TRIHRWA128F92FE24C	The Brooklyn Tabernacle Choir	
R/J/O/TRRJOCP128F92ED2D1	Willie Nelson	Texas
O/H/T/TROHTQV128F427D979	Michael Marcus	
J/B/V/TRJBVDW12903D01701	Stage Dolls	Trondheim ,Norway
P/L/R/TRPLRVY128F1473EBE	Enya	Gweedore, Donegal, Ireland
E/P/D/TREPDNX128F92DD2A5	Punkrockerz	
U/S/Y/TRUSYNM12903CC75F0	José Carreras	
T/C/P/TRTCPHC128F42938F2	Kenny G featuring Brian McKnight and Earl Klugh	Seattle, Washington USA
X/Z/C/TRXZCBQ128F425FD9C	Sheryl Crow	
H/H/L/TRHHLRD128F92EE5D0	Queen	London, England
Y/R/P/TRYRPLM128F1487E66	Leif Ove Andsnes	
W/N/C/TRWNCRU128F9304F93	John Dahlbäck	Stockholm, All
P/V/H/TRPVHXZ128F92DEF18	Marina And The Diamonds	London UK-England
W/I/K/TRWIKBF128F92DD506	James Blunt	
W/D/Y/TRWDYGV128F92EDBF6	Emmylou Harris	Birmingham, AL
L/H/O/TRLHOQR128F148B017	Pat Green	San Antonio, TX
U/L/O/TRULOKW128F427FD30	HAMMERFALL	Gothenburg, Sweden
L/Z/V/TRLZVVZ128F14524B2	Moya Brennan	
D/K/S/TRDKSKE128F930A28A	Bobby Brown	Boston, MA
B/G/U/TRBGUJF128F425803E	Keith Emerson	Todmorden, England
Z/Z/L/TRZZLNL128F424316A	Bee Gees	Cincinnati Ohio USA
Q/R/K/TRQRKGB128E078122A	U2	Dublin, Ireland
N/O/D/TRNODZQ128F148C915	Bert Kaempfert And His Orchestra	Hamburg, Germany
W/O/R/TRWORUL128F4286B70	Andy Summers / Benjamin Verdery	Lancashire, England
R/S/M/TRRSMAY128F9312502	Maldita Nerea	
J/J/O/TRJJOQK128F1480CA6	This Day & Age	
F/N/H/TRFNHII128EF34E28C	White Heart	
Z/E/K/TRZEKVS128F148FF87	Slam	Glasgow, Scotland
H/L/D/TRHLDJS128F92EF471	Jessica Simpson	Dallas, TX
N/Y/K/TRNYKXH12903D09F5D	Nocturnal Rites	Suecia
Y/R/Z/TRYRZYD12903CF82A0	Dmitry Bessonov	
U/A/D/TRUADEP128F930A6FE	Party Band Kings	
M/O/I/TRMOIHQ128F930943A	Ich + Ich	Berlin
Z/Y/L/TRZYLRG128F932697B	Big in Iowa	
V/R/T/TRVRTCQ128F4293569	Robert Babicz	Cologne, Germany
Q/I/G/TRQIGKE128F931349D	Scottish Chamber Orchestra/Roderick Brydon/Paul Tortelier	Scotland
Y/Q/X/TRYQXYQ128F92E2AB6	UB40	Birmingham, England
B/U/B/TRBUBKM12903CC4014	Kid Loco	
B/V/S/TRBVSLY128F4265DD0	Broken Social Scene	Toronto ON
U/N/L/TRUNLFC128F148B2C7	Thicke	Los Angeles, CA
D/P/N/TRDPNTT128F933BFF7	Oscar G	
S/K/B/TRSKBUE128F146A8DD	Lenny Kravitz	New York, NY
Y/T/O/TRYTOBG128F146A88F	Hannah Morris	
L/I/E/TRLIENS128F429B2C3	Dynamite Boy	
C/Y/J/TRCYJFA128F429D2B6	M.A.N.D.Y. vs Booka Shade Feat. Laurie Anderson	
X/X/V/TRXXVOI128F42922FC	Eva Cassidy	Oxon Hill, MD
U/X/J/TRUXJPI128F934694E	Agent K	
E/I/S/TREISJY128F428C9A7	Uniting Nations	
I/Z/B/TRIZBZF128F932CF12	Ensiferum	Helsinki, Finland
H/W/R/TRHWRZQ128EF34DAC7	Black Strobe	
W/Y/T/TRWYTIP128F42B3265	Kenny G	Seattle, Washington USA
W/G/P/TRWGPHF128F933DB4B	Boyz II Men	Philadelphia, PA
C/Y/N/TRCYNBG128F422462E	Danity Kane	
C/J/A/TRCJAOE128F1453D59	Blink-182	Poway, CA
D/V/A/TRDVATE128E079887F	Hayley Westenra	Christchurch, New Zealand
J/J/E/TRJJEMN128F92F81FD	Papas Da Língua	
M/X/L/TRMXLTU12903CCE446	The Derailers	Austin, TX
Y/Y/D/TRYYDUX128F4278732	The B-52s	Athens, GA
K/V/V/TRKVVMC128F4252EB2	Amaral	Madrid SPAIN
T/P/J/TRTPJGD128F92EDA74	Tracy Chapman	Cleveland, Ohio
S/L/W/TRSLWIJ128F42A7896	Natalia	
N/J/Q/TRNJQSW128F9333CA3	Alicia Keys	Harlem, New York
N/B/B/TRNBBMR128F1473654	Nancy Sinatra	Jersey City, NJ
J/Z/A/TRJZAVM128F427986A	Garou	Sherbrooke, Quebec, Canada
Z/L/H/TRZLHJU128F4249CBD	Brenda Lee	Lithonia, GA
E/P/U/TREPUWW12903CDDD78	The Jazz Masters	
U/B/K/TRUBKHJ128F42B0D45	Dido	London, England
L/V/L/TRLVLFT128F42AE1D5	Barry Manilow	Brooklyn, NY
G/A/L/TRGALGM128F424DDE7	Ramy Ayach	
T/A/P/TRTAPPJ128F9311061	Tina Arena & Johnny Bowles	Melbourne, Australia
A/I/U/TRAIUAJ128F145EEDA	Billy Idol	"<a href=""http://billyidol.net"" onmousedown='UntrustedLink.bootstrap($(this), ""fc44f8f60d13ab68c56b3c6709c6d670"", event)' target=""_blank"" rel=""nofollow"">http://billyidol.net</a>"
B/N/T/TRBNTTQ128F4297E4A	Café Quijano	
J/V/M/TRJVMAY128EF341CE6	The Undisputed Truth	
B/F/O/TRBFOXE128F4238C18	Javier De Galloy	
F/M/J/TRFMJWV128F92F0EDB	Gerry & The Pacemakers	Liverpool, England
F/H/Z/TRFHZVW128F934E60D	Zero Zero	
Q/R/O/TRQROZC128F42836AD	Céline Dion	Charlemagne, Quebec, Canada
H/B/T/TRHBTAV12903CF8C82	Angra Mainyu	
E/W/Q/TREWQGO128F14A96C8	Banaroo	
I/B/J/TRIBJZE128E0799683	Faith Hill	Nashville, TN
D/D/N/TRDDNRU128F423C66E	András Schiff	
C/L/A/TRCLAQP128F428C798	Boyz II Men	Philadelphia, PA
B/N/S/TRBNSUM128F428BF76	Lisa Lynne	California - LA
W/Z/I/TRWZICB128F42570ED	Alexandre Pires	
Z/O/I/TRZOIXA128E07914A9	Bon Jovi	Sayreville, NJ
Q/O/Z/TRQOZUO128F42245B9	Jay-Z/ Linkin Park	
L/O/O/TRLOOVO128F14959B2	Delbert McClinton	Lubbock, TX
L/A/R/TRLARFV128E0793EBF	Rob Zombie	Haverhill, Massachusetts
P/I/T/TRPITHG128F4267ED8	Willie Nelson and Leon Russell	
D/S/Y/TRDSYIU12903CB2494	Okay	Maryland
L/V/K/TRLVKSL128F4241B19	The Monkees	Los Angeles, CA
O/U/P/TROUPZL128F92D4DC5	Tricarico	
L/J/Y/TRLJYUZ12903D0C6B0	Giorgio Moroder	Ortisei, Italy
J/H/I/TRJHIHS128F428024E	Daniele Silvestri	Rome, Italy
I/F/H/TRIFHCG128F14A584B	King Missile	New York, NY
F/F/R/TRFFRPX128F429091E	Gareth Gates	
U/Z/X/TRUZXGL128F4247C35	Traband	Prague, Czech Republic
R/H/J/TRRHJIB128F933435D	Fastbacks	Seattle, WA
R/Z/F/TRRZFBT128F146548B	Neal Schon	San Mateo, CA
O/R/Y/TRORYLG128F930F3D4	Njie	
C/I/R/TRCIRUK128F92F06CE	James Blunt	
U/D/J/TRUDJNB128EF35C86E	Ammoncontact	Los Angeles, CA
K/R/R/TRKRRRH12903CC711F	Lazard feat. Muzzy G.	
N/U/N/TRNUNGN12903CE6DAA	Mink DeVille	New York, NY
L/T/A/TRLTANK128F9307B40	Fanfarlo	London
D/E/H/TRDEHNR128F422AA30	Franky B.	
G/Y/Z/TRGYZSP128F427C0B6	The Beach Boys	Hawthorne, CA
U/T/D/TRUTDTR128F422B7CC	Bob Sinclar	
K/D/H/TRKDHRK128F426B40F	Nickelback	Hanna, Alberta, Canada
G/C/W/TRGCWGQ128F930FE75	Clawfinger	
U/D/J/TRUDJEG128E0798BFF	Neil Young	Toronto, Ontario, Canada
L/W/W/TRLWWFY12903C9AAA4	Black Legend	
Y/I/F/TRYIFWK128E078B971	Michael Bublé	British Columbia
S/V/L/TRSVLHR12903CBCBDF	Smokie	Bradford, England
Q/W/C/TRQWCKO128F92DABB4	Denga vs. Manus	
E/A/W/TREAWQR128F428F92F	Scan X	
M/W/J/TRMWJIU12903CDB401	Doug Kershaw	Tiel Ridge, LA
O/Z/W/TROZWPD128F4267C7A	Tina Turner	Nutbush, TN
X/R/Y/TRXRYNI128F425A059	Andy Abraham	London, England
S/N/W/TRSNWQO128F148A73F	Sarah Brightman	Berkhampstead, England
Q/H/Z/TRQHZTV128F93449EC	Tuomari Nurmio	
X/V/L/TRXVLVO12903CAC4D1	David Cassidy	New York, NY
B/X/P/TRBXPRM12903CD9D2B	2 Eivissa	
S/I/C/TRSICUW128F934618C	2econd Class Citizen	
R/S/F/TRRSFFG128F1460F2B	Paul Mauriat	Marseille, France
U/L/H/TRULHFP128F4298A34	Honeyroot	UK - England - London
N/P/L/TRNPLAK128F92F7FDC	Monday 2 Friday	
G/Q/O/TRGQOIK128F146A0BC	Roxy Music	Newcastle
R/V/I/TRRVIWQ128F423CB76	Prince	Minneapolis, MN
F/W/P/TRFWPNF128F4267A99	Jeff Wayne;Paul Vigrass;Gary Osborne	California - LA
E/R/K/TRERKKL128F425A23E	B-Tribe	
X/E/V/TRXEVRI128F4231565	Diamanda Galas	San Diego, CA
I/K/O/TRIKOJD128F42A9587	Ken Adams	
K/C/X/TRKCXNY128F42B1E0C	Dressy Bessy	Denver, CO
K/I/Q/TRKIQAJ128F92DF680	Geri Halliwell	Watford, Hertfordshire, England
L/G/M/TRLGMZM128F4293731	DJs@Work	
F/M/D/TRFMDRA128F92FEB75	Adele	London
G/C/Q/TRGCQEH128F4257954	The Raveonettes	Copenhagen, Denmark
D/H/U/TRDHUFT128F429230B	Gareth Gates	
E/N/D/TRENDUC12903CE76D9	Phish	Burlington, VT
A/L/S/TRALSBI12903CCEEA0	Madonna	Bay City, MI
A/B/G/TRABGMB128F92E8CF7	Lily Allen	London, England
C/P/N/TRCPNJC128E078167D	The Concretes	Stockholm, Sweden
O/F/J/TROFJXZ128F93069FE	Katie Melua	Georgia
V/I/H/TRVIHEU128F93455F2	the feelers	
S/M/L/TRSMLZI12903CC830E	Dexys Midnight Runners	Birmingham, England
Y/V/P/TRYVPZM128F42450A5	Mariano Yanani	
G/J/O/TRGJOGU128F9302F5B	Johnny Logan	
T/V/D/TRTVDLQ12903CE1D9D	Edward Maya / Vika Jigulina	
G/E/D/TRGEDWP128F92C2259	Air Supply	Melbourne, Australia
G/D/E/TRGDEBM128F428FA31	Catherine Feeny	California - LA
O/L/G/TROLGSD128F428B371	Myriam Hernández	
I/K/X/TRIKXUL128F42AC550	Martina McBride	Medicine Lodge, KS
A/E/A/TRAEAWW128F42975CE	Noel Sanger	
B/G/W/TRBGWYE128F4271740	Angela Strehli	Lubbock, TX
V/T/P/TRVTPCC128E0792460	Ewan McGregor / Alessandro Safina	
A/D/H/TRADHSY128F93046C3	Ed Case;Ms. Dynamite	
H/L/Q/TRHLQCP128F92E21DC	Christian Lais	
A/I/H/TRAIHOZ128F934BF7E	Enya	Gweedore, Donegal, Ireland
I/C/W/TRICWAP128F42988B7	Cat Power	Georgia
K/B/E/TRKBEYW128F931B51C	Molly Sandén	
S/P/E/TRSPEFK128E07811EF	JoJo	Boston, MA
E/R/E/TREREBE128E078EB58	No Doubt	Anaheim, CA
P/Y/G/TRPYGXK128F4291FB2	Rocio Durcal	
E/F/Q/TREFQAX128F426D1FA	Chris Isaak	Stockton, California
W/T/F/TRWTFXE128F92F4BD7	Ticon	
L/V/K/TRLVKDO128F4292B26	Alcazar	Svezia
W/Q/U/TRWQULL128F428385D	George Michael	London, England
K/W/R/TRKWRFX128F4276866	João Pedro Pais	
P/J/Q/TRPJQIR12903CBE9BC	Alan Parsons	
U/E/G/TRUEGDS12903CD4152	James Last	Bremen, Germany
O/C/M/TROCMXF128F934D8A0	Pete Seeger	New York, NY
L/X/W/TRLXWQB128F14895EB	The Skygreen Leopards	
M/E/M/TRMEMHO12903CB27B9	Antonio Vivaldi	
U/I/W/TRUIWFY128F92F6B9E	Airbase	
W/R/J/TRWRJYK128F9313EAF	Anna Abreu	
Z/T/J/TRZTJZJ128F42450AB	Mariano Yanani	
B/U/C/TRBUCNZ128F426BF40	Carlo Siliotto	
T/I/M/TRTIMWD128F427CE31	Daft Punk	Paris, France
J/Z/Y/TRJZYKV128F4277AB7	Sera Cahoone	Denver, CO
O/N/B/TRONBIT128F42597F9	The Bluetones	St. Louis, MO
L/C/Q/TRLCQDH128F4269A76	Billy Thorpe	England
I/M/Q/TRIMQYK128F4243632	Taxiride	Melbourne, Australia
C/C/A/TRCCASH12903CB5930	A-Ha	Oslo, Norway
I/P/A/TRIPAJF12903CB24FA	Okay	Maryland
G/T/I/TRGTIIJ128F424DA28	Weezer	
P/O/K/TRPOKNT128EF348D84	Highway 61 Revisited - Bob Dylan	
H/U/L/TRHULDW128F42956D3	Santa Claws and the Naughty But Nice Orchestra	
G/J/E/TRGJEWF12903CE3F6C	Frankie Valli	Newark, NJ
W/C/Y/TRWCYWF128F9349CC7	Alex Neri	
I/Q/C/TRIQCVP128F42438E6	Alexander O'Neal	Minneapolis, MN
S/N/B/TRSNBEY128F92E99B4	Narada Michael Walden	Kalamazoo, MI
Y/N/Q/TRYNQQI128E07873DC	Talking Heads	
W/O/E/TRWOEAE128F92F37EA	Joy Denalane	Berlin, Germany
M/M/L/TRMMLNP128F9308A1E	Marion Raven	Lorenskog, Norway
G/F/H/TRGFHCX128F428F75D	Sabda Brahma	
Y/I/L/TRYILQZ128F931DC36	Sven Väth	
J/F/F/TRJFFZR128F92CEDFB	C.V. Jørgensen	
G/T/R/TRGTRGG128F428259F	Edwin McCain	Charleston, SC
N/L/L/TRNLLUG128F9333AD8	UB40	Birmingham, England
O/O/Y/TROOYOJ12903CE79FE	Jenni Vartiainen	
A/O/N/TRAONFJ128EF359C0F	Yehudit Ravitz	
V/L/W/TRVLWOF128F933E724	Blackmore's Night	
J/W/X/TRJWXTN128F42487F0	Sondre Lerche	Bergen, Norway
S/E/K/TRSEKRS12903CBB4FF	System of a Down	Los Angeles, CA
A/J/A/TRAJANQ12903CCDF7F	Mark Medlock	
M/X/C/TRMXCHV128F92F965C	U2	Dublin, Ireland
S/D/U/TRSDUVX128F42568A6	GRAVEWORM	
V/O/S/TRVOSUK128E078BF80	Henry Mancini & His Orchestra	Cleveland, OH
B/H/G/TRBHGWP128E0793AD8	The Police	London, England
O/A/M/TROAMGY12903C9FE24	Bebo Norman	
U/M/C/TRUMCXJ128F428C9F1	Hi-Tack	
E/D/E/TREDEFZ128F92F744F	Selena Gomez	
E/L/V/TRELVJI12903CC90D7	System F	Rotterdam, Netherlands
E/I/S/TREISJY128F428C9A7	Uniting Nations	
G/M/H/TRGMHHV128F92E52F7	Lisa Bund	
E/W/U/TREWUFH12903CFB6F0	The Radio Dept.	Lund, Sweden
O/E/N/TROENVT128E07850DF	The Stills	Montreal, Quebec, Canada
G/G/N/TRGGNQV128F428CBE1	David Cassidy	New York, NY
H/P/Z/TRHPZIT128F148B263	Puddle Of Mudd	
E/R/W/TRERWID128F92E58CF	Gunther & the Sunshine Girls	
X/Y/O/TRXYOKX128F42AF292	Backstreet Boys	Orlando, FL
R/J/U/TRRJUEH128F4277794	Perry Wood	California - LA
O/X/P/TROXPSQ12903CB9A3D	The Jolly Players	
L/L/I/TRLLIYR128F42A357E	Patty Pravo	
Z/B/B/TRZBBSR128F429DB9B	Xerramequ Tiquis Miquis	
